symbol_a,symbol_b,correlation,p_value,half_life,hurst_exponent,hedge_ratio
SOL/USDT:USDT,SUI/USDT:USDT,0.8628799694446087,2.98991036694803e-06,3.793650760444345,0.050502686492421,57.68041208325326
LTC/USDT:USDT,NEAR/USDT:USDT,0.7905186586851433,4.2027991261175616e-05,4.446036999073905,0.08419470837350894,29.201621973081046
HBAR/USDT:USDT,NEAR/USDT:USDT,0.77627747719369,0.0002064600294579595,6.521496531973406,0.2012651818531374,0.05505079705269361
BNB/USDT:USDT,SOL/USDT:USDT,0.8098790962429048,0.0003495972858192264,5.621910298821694,0.11528211660824512,4.625968512591307
HBAR/USDT:USDT,LTC/USDT:USDT,0.8311004363805108,0.00036471303590292935,6.176575069451843,0.13501919563415743,0.001787439029651939
LINK/USDT:USDT,SOL/USDT:USDT,0.8806638970401512,0.0003790287295560365,5.7096207828464065,0.15626244122234342,0.11576565679995299
1000PEPE/USDT:USDT,HBAR/USDT:USDT,0.8177538510453983,0.006071216135899712,7.81027358822279,0.1961022975737586,0.03708804543150637
SOL/USDT:USDT,TAO/USDT:USDT,0.7202870977490146,0.00762338537875199,7.349692801865132,0.20193820914357813,0.11008210388631068
ADA/USDT:USDT,SOL/USDT:USDT,0.8611072111526679,0.009016506015334472,7.849461219485231,0.09361338735783163,0.00446736714411447
SOL/USDT:USDT,XRP/USDT:USDT,0.8484703114598576,0.010670223830635497,8.225546525690582,0.16862617761457924,62.08836474020279
BTC/USDT:USDT,TAO/USDT:USDT,0.7208777217262337,0.010879077340915384,8.112185091630613,0.17673735002692154,1.3053082517735675
BNB/USDT:USDT,SUI/USDT:USDT,0.8135662701125693,0.0112974180726308,5.640648792712774,0.08995838322137091,285.6696755308885
BTC/USDT:USDT,WIF/USDT:USDT,0.7789997622656046,0.01249752818909127,8.27975991580515,0.17759285562827953,2160.775132964598
LINK/USDT:USDT,TAO/USDT:USDT,0.7498610738989567,0.014441649503421396,8.438606195675085,0.21189978328408005,0.014835494498251167
1000PEPE/USDT:USDT,LTC/USDT:USDT,0.8380716485578749,0.016883623048284883,10.804601292347504,0.2716802039134084,7.066585104821815e-05
BTC/USDT:USDT,DOT/USDT:USDT,0.8226792364993144,0.023592719106458385,9.218615089903935,0.1788035357200017,2804.9531166852103
ENA/USDT:USDT,LTC/USDT:USDT,0.8070482114582932,0.03964068732967399,13.552603019269222,0.29076723364937446,0.004944904383382642
SOL/USDT:USDT,WIF/USDT:USDT,0.8163580456140471,0.04383744248238631,9.251992138736446,0.23191577243850622,90.08759475252054
LINK/USDT:USDT,SUI/USDT:USDT,0.8964284355745432,0.04457066268988154,8.63038439618842,0.15361217773944144,7.022980235876837
